Name,Rank,Country,Childrens,Age,Industry,NetWorth,Source,Citizenship,Education,Self_made,Status,Residence
A. Jayson Adair,2674,United States,2,51,Automotive,$1 B,damaged cars,United States,,True,Married,"Dallas, Texas"
Abdulla Al Futtaim & family,1444,United Arab Emirates,0,,Automotive,$2.2 B,"auto dealers, investments",United Arab Emirates,,False,Married,"Dubai, United Arab Emirates"
Abdulla bin Ahmad Al Ghurair & family,1111,United Arab Emirates,0,,Diversified,$2.8 B,diversified,United Arab Emirates,,False,,"Dubai, United Arab Emirates"
Abdulsamad Rabiu,574,Nigeria,0,60,Diversified,$4.9 B,"cement, sugar",Nigeria,,False,Married,"Lagos, Nigeria"
Abhay Firodia,1299,India,4,76,Automotive,$2.4 B,automobiles,India,,False,Married,"Pune, India"
Abhay Vakil & family,622,India,3,70,Manufacturing,$4.6 B,paints,India,"Bachelor of Arts/Science, Bombay University; Bachelor of Arts/Science, Syracuse University",False,Married,"Mumbai, India"
Abigail Johnson,85,United States,2,59,Finance & Investments,$20.9 B,money management,United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",False,Married,"Milton, Massachusetts"
Abilio dos Santos Diniz,1205,Brazil,6,84,Fashion & Retail,$2.6 B,retail,Brazil,"Bachelor of Arts/Science, Fundacao Getulio Vargas",False,Married,"Sao Paulo, Brazil"
Achal Bakeri,2263,India,2,61,Manufacturing,$1.3 B,air coolers,India,"Master of Business Administration, Marshall School of Business",True,Married,"Ahmedabad, India"
Acharya Balkrishna,1444,India,0,48,Food & Beverage,$2.2 B,consumer goods,India,,True,Single,"Haridwar, India"
Adam Kwok,1205,Hong Kong,0,38,Real Estate,$2.6 B,real estate,Hong Kong,"Master of Business Administration, Harvard Business School; Bachelor of Science in Engineering, Stanford University",False,,"Hong Kong, Hong Kong"
Adi Godrej,1299,India,3,79,Diversified,$2.4 B,consumer goods,India,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",False,Widowed,"Mumbai, India"
Aerin Lauder,775,United States,2,50,Fashion & Retail,$3.8 B,cosmetics,United States,"Bachelor of Arts/Science, University of Pennsylvania",False,Married,"New York, New York"
Agnete Kirk Thinggaard,274,Denmark,0,37,Manufacturing,$8.7 B,Lego,Denmark,,False,,"Billund, Denmark"
Ahmet Calik,2035,Turkey,4,63,Diversified,$1.5 B,"energy, banking, construction",Turkey,,True,Married,"Istanbul, Turkey"
Ahmet Nazif Zorlu,2524,Turkey,3,76,Diversified,$1.1 B,diversified,Turkey,"Drop Out, High School",True,Married,"Istanbul, Turkey"
Airat Shaimiev,2141,Russia,0,59,Energy,$1.4 B,"refinery, chemicals",Russia,"Bachelor of Arts/Science, Moscow Power Engineering Institute, Kazan",True,,"Kazan, Russia"
Ajay Parekh,1931,India,2,63,Manufacturing,$1.6 B,adhesives,India,,False,Married,"Mumbai, India"
Ajay Piramal,727,India,2,65,Healthcare,$4 B,pharmaceuticals,India,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, Bombay University",False,Married,"Mumbai, India"
Akio Nitori,539,Japan,0,77,Fashion & Retail,$5.2 B,home furnishings,Japan,,True,Married,"Hokkaido, Japan"
Akira Mori & family,727,Japan,3,84,Real Estate,$4 B,real estate,Japan,,False,Married,"Tokyo, Japan"
Alain Bouchard,680,Canada,4,72,Fashion & Retail,$4.2 B,retail,Canada,,True,Married,"Montreal, Canada"
Alain Merieux & family,304,France,3,83,Healthcare,$8.2 B,pharmaceuticals,France,,False,Married,"Lyon, France"
Alain Taravella,1580,France,0,73,Real Estate,$2 B,real estate development,France,,True,,"Paris, France"
Alain Wertheimer,41,France,3,72,Fashion & Retail,$34.5 B,Chanel,France,,False,Married,"New York, New York"
Alan Gerry,2035,United States,3,92,Media & Entertainment,$1.5 B,cable television,United States,"Drop Out, High School",True,Married,"Liberty, New York"
Alan Howard,1111,United Kingdom,4,57,Finance & Investments,$2.8 B,hedge funds,United Kingdom,"Master of Science, Imperial College London",True,Married,"Geneva, Switzerland"
Alan Miller & family,2263,United States,0,83,Healthcare,$1.3 B,healthcare services,,,,,
Alan Rydge,2674,Australia,0,68,Media & Entertainment,$1 B,entertainment,Australia,,True,Married,"Sydney, Australia"
Alan Trefler,589,United States,0,65,Technology,$4.8 B,software,United States,"Associate in Arts/Science, Dartmouth College",True,Married,"Brookline, Massachusetts"
Alan Zekelman,2378,Canada,0,58,Manufacturing,$1.2 B,steel,Canada,"Master of Science, University of Rochester; Bachelor of Commerce, University of Toronto",False,,"Bloomfield Hills, Michigan"
Albert Avdolyan,2674,Russia,4,50,Energy,$1 B,"oil, mining",Russia,"Master of Laws, Irkutsk State University",True,Married,"Moscow, Russia"
Albert Shigaboutdinov,2378,Russia,2,68,Diversified,$1.2 B,"refinery, chemicals",Russia,"Bachelor of Arts/Science, Kazan State Technical University",True,Married,"Kazan, Russia"
Alberto Alcocer,2141,Spain,5,78,Finance & Investments,$1.4 B,investments,Spain,"Doctor of Jurisprudence, Universidad Complutense de Madrid",True,Married,"Madrid, Spain"
Alberto Bailleres Gonzalez & family,255,Mexico,4,89,Metals & Mining,$9.2 B,mining,Mexico,,False,Married,"Mexico City, Mexico"
Alberto Bombassei,1299,Italy,2,80,Automotive,$2.4 B,automotive brakes,Italy,,False,Married,"Bergamo, Italy"
Alberto Cortina,2035,Spain,4,75,Finance & Investments,$1.5 B,investments,Spain,"Doctor of Jurisprudence, Universidad Complutense de Madrid",True,Married,"Madrid, Spain"
Alberto Palatchi,2035,Spain,3,71,Fashion & Retail,$1.5 B,wedding dresses,Spain,,True,Separated,"Madrid, Spain"
Alberto Prada,1580,Italy,0,67,Fashion & Retail,$2 B,luxury goods,Italy,,False,,"Milan, Italy"
